pitch_rad,roll_rad,tau_pitch_nm,tau_roll_nm
-1.027172,0.297772,155.3581,60.8480
-1.027172,0.307866,155.2870,60.6860
-1.027172,0.317960,155.2167,60.5185
-1.027172,0.328054,155.1471,60.3454
-1.027172,0.338148,155.0782,60.1667
-1.027172,0.348242,155.0099,59.9825
-1.027172,0.358336,154.9423,59.7925
-1.027172,0.368430,154.8754,59.5969
-1.027172,0.378524,154.8091,59.3956
-1.027172,0.388618,154.7435,59.1884
-1.027172,0.398712,154.6785,58.9755
-1.027172,0.408806,154.6141,58.7568
-1.027172,0.418900,154.5503,58.6459
-1.017157,-0.418900,162.7273,59.6535
-1.017157,-0.408806,162.5964,59.7529
-1.017157,-0.398712,162.4664,59.9491
-1.017157,-0.388618,162.3372,60.1398
-1.017157,-0.378524,162.2088,60.3251
-1.017157,-0.368430,162.0813,60.5050
-1.017157,-0.358336,161.9546,60.6795
-1.017157,-0.348242,161.8288,60.8487
-1.017157,-0.338148,161.7038,61.0125
-1.017157,-0.328054,161.5798,61.1711
-1.017157,-0.317960,161.4567,61.3244
-1.017157,-0.307866,161.3345,61.4725
-1.017157,-0.297772,161.2132,61.6154
-1.017157,-0.287678,161.0928,61.7530
-1.017157,-0.277584,160.9734,61.8855
-1.017157,-0.267490,160.8549,62.0129
-1.017157,-0.257396,160.7374,62.1351
-1.017157,-0.247302,160.6208,62.2522
-1.017157,-0.237208,160.5052,62.3642
-1.017157,-0.227114,160.3906,62.4712
-1.017157,-0.217020,160.2770,62.5730
-1.017157,-0.206927,160.1643,62.6699
-1.017157,-0.196833,160.0526,62.7617
-1.017157,-0.186739,159.9419,62.8485
-1.017157,-0.176645,159.8322,62.9302
-1.017157,-0.166551,159.7235,63.0070
-1.017157,-0.156457,159.6157,63.0789
-1.017157,-0.146363,159.5090,63.1457
-1.017157,-0.136269,159.4032,63.2076
-1.017157,-0.126175,159.2985,63.2645
-1.017157,-0.116081,159.1947,63.3165
-1.017157,-0.105987,159.0919,63.3636
-1.017157,-0.095893,158.9901,63.4057
-1.017157,-0.085799,158.8894,63.4429
-1.017157,-0.075705,158.7896,63.4752
-1.017157,-0.065611,158.6908,63.5026
-1.017157,-0.055517,158.5929,63.5250
-1.017157,-0.045423,158.4961,63.5425
-1.017157,-0.035329,158.4003,63.5551
-1.017157,-0.025235,158.3054,63.5628
-1.017157,-0.015141,158.2115,63.5655
-1.017157,-0.005047,158.1186,63.5634
-1.017157,0.005047,158.0267,63.5562
-1.017157,0.015141,157.9357,63.5442
-1.017157,0.025235,157.8457,63.5272
-1.017157,0.035329,157.7566,63.5053
-1.017157,0.045423,157.6685,63.4783
-1.017157,0.055517,157.5814,63.4465
-1.017157,0.065611,157.4952,63.4096
-1.017157,0.075705,157.4100,63.3678
-1.017157,0.085799,157.3256,63.3209
-1.017157,0.095893,157.2423,63.2690
-1.017157,0.105987,157.1598,63.2121
-1.017157,0.116081,157.0783,63.1502
-1.017157,0.126175,156.9977,63.0831
-1.017157,0.136269,156.9179,63.0110
-1.017157,0.146363,156.8391,62.9338
-1.017157,0.156457,156.7612,62.8515
-1.017157,0.166551,156.6842,62.7640
-1.017157,0.176645,156.6081,62.6714
-1.017157,0.186739,156.5328,62.5736
-1.017157,0.196833,156.4584,62.4706
-1.017157,0.206927,156.3849,62.3623
-1.017157,0.217020,156.3122,62.2488
-1.017157,0.227114,156.2404,62.1300
-1.017157,0.237208,156.1694,62.0059
-1.017157,0.247302,156.0992,61.8764
-1.017157,0.257396,156.0299,61.7416
-1.017157,0.267490,155.9613,61.6014
-1.017157,0.277584,155.8936,61.4558
-1.017157,0.287678,155.8267,61.3047
-1.017157,0.297772,155.7605,61.1482
-1.017157,0.307866,155.6952,60.9861
-1.017157,0.317960,155.6306,60.8184
-1.017157,0.328054,155.5667,60.6452
-1.017157,0.338148,155.5036,60.4664
-1.017157,0.348242,155.4412,60.2819
-1.017157,0.358336,155.3796,60.0917
-1.017157,0.368430,155.3187,59.8958
-1.017157,0.378524,155.2584,59.6941
-1.017157,0.388618,155.1989,59.4866
-1.017157,0.398712,155.1400,59.2733
-1.017157,0.408806,155.0818,59.0541
-1.017157,0.418900,155.0243,58.9431
-1.007143,-0.418900,162.8293,59.8630
-1.007143,-0.408806,162.7008,59.9635
-1.007143,-0.398712,162.5732,60.1619
-1.007143,-0.388618,162.4464,60.3548
-1.007143,-0.378524,162.3204,60.5423
-1.007143,-0.368430,162.1954,60.7244
-1.007143,-0.358336,162.0712,60.9010
-1.007143,-0.348242,161.9479,61.0724
-1.007143,-0.338148,161.8255,61.2383
-1.007143,-0.328054,161.7041,61.3990
-1.007143,-0.317960,161.5836,61.5544
-1.007143,-0.307866,161.4640,61.7045
-1.007143,-0.297772,161.3454,61.8494
-1.007143,-0.287678,161.2278,61.9890
-1.007143,-0.277584,161.1111,62.1235
-1.007143,-0.267490,160.9955,62.2528
-1.007143,-0.257396,160.8808,62.3769
-1.007143,-0.247302,160.7671,62.4959
-1.007143,-0.237208,160.6544,62.6097
-1.007143,-0.227114,160.5427,62.7185
-1.007143,-0.217020,160.4320,62.8222
-1.007143,-0.206927,160.3223,62.9208
-1.007143,-0.196833,160.2137,63.0143
-1.007143,-0.186739,160.1060,63.1028
-1.007143,-0.176645,159.9994,63.1862
-1.007143,-0.166551,159.8939,63.2647
-1.007143,-0.156457,159.7893,63.3381
-1.007143,-0.146363,159.6858,63.4065
-1.007143,-0.136269,159.5834,63.4699
-1.007143,-0.126175,159.4819,63.5284
-1.007143,-0.116081,159.3815,63.5818
-1.007143,-0.105987,159.2822,63.6303
-1.007143,-0.095893,159.1838,63.6738
-1.007143,-0.085799,159.0866,63.7124
-1.007143,-0.075705,158.9903,63.7460
-1.007143,-0.065611,158.8951,63.7746
-1.007143,-0.055517,158.8009,63.7983
-1.007143,-0.045423,158.7077,63.8171
-1.007143,-0.035329,158.6156,63.8308
-1.007143,-0.025235,158.5245,63.8397
-1.007143,-0.015141,158.4345,63.8435
-1.007143,-0.005047,158.3454,63.8424
-1.007143,0.005047,158.2574,63.8363
-1.007143,0.015141,158.1704,63.8253
-1.007143,0.025235,158.0844,63.8093
-1.007143,0.035329,157.9994,63.7882
-1.007143,0.045423,157.9154,63.7622
-1.007143,0.055517,157.8325,63.7312
-1.007143,0.065611,157.7505,63.6951
-1.007143,0.075705,157.6695,63.6541
-1.007143,0.085799,157.5895,63.6079
-1.007143,0.095893,157.5105,63.5568
-1.007143,0.105987,157.4324,63.5005
-1.007143,0.116081,157.3554,63.4392
-1.007143,0.126175,157.2793,63.3727
-1.007143,0.136269,157.2042,63.3012
-1.007143,0.146363,157.1300,63.2244
-1.007143,0.156457,157.0567,63.1426
-1.007143,0.166551,156.9845,63.0555
-1.007143,0.176645,156.9131,62.9633
-1.007143,0.186739,156.8427,62.8658
-1.007143,0.196833,156.7732,62.7631
-1.007143,0.206927,156.7046,62.6551
-1.007143,0.217020,156.6369,62.5419
-1.007143,0.227114,156.5701,62.4233
-1.007143,0.237208,156.5042,62.2993
-1.007143,0.247302,156.4392,62.1700
-1.007143,0.257396,156.3751,62.0353
-1.007143,0.267490,156.3118,61.8951
-1.007143,0.277584,156.2494,61.7495
-1.007143,0.287678,156.1879,61.5984
-1.007143,0.297772,156.1272,61.4418
-1.007143,0.307866,156.0673,61.2796
-1.007143,0.317960,156.0082,61.1118
-1.007143,0.328054,155.9499,60.9384
-1.007143,0.338148,155.8925,60.7594
-1.007143,0.348242,155.8358,60.5746
-1.007143,0.358336,155.7799,60.3842
-1.007143,0.368430,155.7247,60.1879
-1.007143,0.378524,155.6703,59.9859
-1.007143,0.388618,155.6167,59.7780
-1.007143,0.398712,155.5638,59.5643
-1.007143,0.408806,155.5116,59.3446
-1.007143,0.418900,155.4601,59.2333
-0.997129,-0.418900,162.9041,60.0690
-0.997129,-0.408806,162.7780,60.1707
-0.997129,-0.398712,162.6527,60.3712
-0.997129,-0.388618,162.5282,60.5663
-0.997129,-0.378524,162.4047,60.7559
-0.997129,-0.368430,162.2821,60.9401
-0.997129,-0.358336,162.1603,61.1189
-0.997129,-0.348242,162.0395,61.2923
-0.997129,-0.338148,161.9197,61.4603
-0.997129,-0.328054,161.8008,61.6230
-0.997129,-0.317960,161.6828,61.7804
-0.997129,-0.307866,161.5659,61.9325
-0.997129,-0.297772,161.4499,62.0794
-0.997129,-0.287678,161.3349,62.2210
-0.997129,-0.277584,161.2210,62.3573
-0.997129,-0.267490,161.1080,62.4885
-0.997129,-0.257396,160.9960,62.6145
-0.997129,-0.247302,160.8851,62.7353
-0.997129,-0.237208,160.7753,62.8509
-0.997129,-0.227114,160.6664,62.9615
-0.997129,-0.217020,160.5586,63.0669
-0.997129,-0.206927,160.4519,63.1672
-0.997129,-0.196833,160.3462,63.2624
-0.997129,-0.186739,160.2416,63.3525
-0.997129,-0.176645,160.1380,63.4376
-0.997129,-0.166551,160.0355,63.5176
-0.997129,-0.156457,159.9341,63.5926
-0.997129,-0.146363,159.8338,63.6625
-0.997129,-0.136269,159.7345,63.7274
-0.997129,-0.126175,159.6363,63.7873
-0.997129,-0.116081,159.5392,63.8422
-0.997129,-0.105987,159.4432,63.8921
-0.997129,-0.095893,159.3482,63.9370
-0.997129,-0.085799,159.2543,63.9769
-0.997129,-0.075705,159.1615,64.0118
-0.997129,-0.065611,159.0698,64.0416
-0.997129,-0.055517,158.9791,64.0665
-0.997129,-0.045423,158.8896,64.0865
-0.997129,-0.035329,158.8011,64.1014
-0.997129,-0.025235,158.7136,64.1113
-0.997129,-0.015141,158.6273,64.1162
-0.997129,-0.005047,158.5420,64.1162
-0.997129,0.005047,158.4578,64.1111
-0.997129,0.015141,158.3746,64.1010
-0.997129,0.025235,158.2925,64.0859
-0.997129,0.035329,158.2115,64.0657
-0.997129,0.045423,158.1315,64.0406
-0.997129,0.055517,158.0526,64.0103
-0.997129,0.065611,157.9747,63.9751
-0.997129,0.075705,157.8978,63.9347
-0.997129,0.085799,157.8220,63.8893
-0.997129,0.095893,157.7473,63.8388
-0.997129,0.105987,157.6735,63.7831
-0.997129,0.116081,157.6008,63.7224
-0.997129,0.126175,157.5291,63.6565
-0.997129,0.136269,157.4584,63.5854
-0.997129,0.146363,157.3887,63.5092
-0.997129,0.156457,157.3200,63.4278
