joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
0.509189,0.554909,0.969826,213.3617
0.510761,0.556432,0.969322,213.2509
0.512332,0.557955,0.968820,213.1403
0.513904,0.559478,0.968318,213.0299
0.515475,0.560999,0.967817,212.9197
0.517047,0.562520,0.967317,212.8097
0.518619,0.564039,0.966818,212.6999
0.520190,0.565558,0.966319,212.5903
0.521762,0.567077,0.965822,212.4809
0.523333,0.568594,0.965325,212.3716
0.524905,0.570111,0.964830,212.2625
0.526476,0.571627,0.964335,212.1537
0.528048,0.573142,0.963841,212.0450
0.529620,0.574656,0.963347,211.9364
0.531191,0.576170,0.962855,211.8281
0.532763,0.577683,0.962363,211.7199
0.534334,0.579195,0.961873,211.6120
0.535906,0.580706,0.961383,211.5042
0.537477,0.582216,0.960893,211.3965
0.539049,0.583726,0.960405,211.2891
0.540621,0.585235,0.959917,211.1818
0.542192,0.586743,0.959430,211.0747
0.543764,0.588251,0.958944,210.9677
0.545335,0.589757,0.958459,210.8609
0.546907,0.591263,0.957974,210.7543
0.548478,0.592768,0.957490,210.6479
0.550050,0.594273,0.957007,210.5416
0.551622,0.595776,0.956525,210.4354
0.553193,0.597279,0.956043,210.3295
0.554765,0.598781,0.955562,210.2237
0.556336,0.600283,0.955082,210.1180
0.557908,0.601783,0.954603,210.0126
0.559479,0.603283,0.954124,209.9072
0.561051,0.604782,0.953646,209.8021
0.562623,0.606281,0.953168,209.6970
0.564194,0.607778,0.952692,209.5922
0.565766,0.609275,0.952216,209.4875
0.567337,0.610771,0.951741,209.3829
0.568909,0.612267,0.951266,209.2785
0.570480,0.613761,0.950792,209.1742
0.572052,0.615255,0.950319,209.0701
0.573624,0.616748,0.949846,208.9662
0.575195,0.618241,0.949374,208.8623
0.576767,0.619732,0.948903,208.7587
0.578338,0.621223,0.948432,208.6551
0.579910,0.622713,0.947962,208.5517
0.581481,0.624203,0.947493,208.4485
0.583053,0.625691,0.947024,208.3454
0.584625,0.627179,0.946556,208.2424
0.586196,0.628666,0.946089,208.1396
0.587768,0.630153,0.945622,208.0369
0.589339,0.631639,0.945156,207.9343
0.590911,0.633124,0.944690,207.8319
0.592482,0.634608,0.944225,207.7296
0.594054,0.636092,0.943761,207.6274
